title,slug,shortId,duration,shortDescription,learningObjectives,instructors_0_user,instructors_1_user,instructors_2_user
General Principles of Hemodynamics (Part 1),general-principles-of-hemodynamics-part-1,H1iMA_2lb,1362,General principles of the CVS Organization Heart as two pumps Series and parallel circuits Chemical composition of the venous and arterial blood Blood flow direction Various pressures in the CVS,[  ],57c6515c1a4f528e46bc4708,,
CVS Pysiology General Principles (Part 1),cvs-pysiology-general-principles-part-1,HJeszROhgW,600,Heart as two pumps Series and parallel circuits Chemical composition of the venous and arterial blood Blood flow direction Various pressures in the CVS,[  ],57c6515c1a4f528e46bc4708,,
Pulmonary Vascular Circuit Changes Under Varying Conditions,pulmonary-vascular-circuit-changes-under-varying-conditions,HyZif0u2eW,1476,This video will present: Properties of the pulmonary vasculature. Division and the filtration function of the pulmonary vasculature. Metabolic functions of the pulmonary vasculature. Comparison of the pulmonary and systemic vasulatures. Change in the pressures with breathing and valsalva's manuver. Clinical points of the pulmonary vasculature.,[  ],57c6515c1a4f528e46bc4708,,
Blood Flow Velocity,blood-flow-velocity,H1ziGC_2eW,1328,This video will present: Velocity of the blood flow in aorta and smaller arteries. We will also look at the graphs that you might see in the USMLE tests. Formula to calculate the velocity.,[  ],57c6515c1a4f528e46bc4708,,
Blood Flow Velocity - Review,blood-flow-velocity-review,BkQjfR_ngb,474,This video will present: Velocity of the blood flow in aorta and smaller arteries. We will also look at the graphs that you might see in the USMLE tests. Formula to calculate the velocity.,[  ],57c6515c1a4f528e46bc4708,,
Blood Flow Hemodynamics,blood-flow-hemodynamics,rJNofC_nlZ,555,This video presents: Blood flow in the cardiovascular system. Factors affecting the blood flow. Method to calculate the blood flow.,[  ],57c6515c1a4f528e46bc4708,,
Poiseuille's Equation,poiseuilles-equation,SJHiMCd2xb,579,This video will present: Poiseuille's Equation Factors contributing to the Poiseuille's equation Use of the Poiseuille's equation in the flow equation,[  ],57c6515c1a4f528e46bc4708,,
Vascular Compliance,vascular-compliance,S1IsMRd2xW,514,This video presents: Concept of compliance or capacitance or distensibility A comparison is also made to the elastance (opposite mechaism),[  ],57c6515c1a4f528e46bc4708,,
Vascular Resistance,vascular-resistance,HyPifC_neW,409,This video presents: Series and parallel resistance circuits. Calculating the total resistance in series and parallel circuits. Arrangement of the body tissues in series and parallel.,[  ],57c6515c1a4f528e46bc4708,,
Reynolds Number,reynolds-number,rkuizRdnlZ,526,This video presents: Formula for the Renyold's number Effect of the laminar and turbulant blood flow on the Reynold's number.,[  ],57c6515c1a4f528e46bc4708,,
General Principles of Pressure Dynamics,general-principles-of-pressure-dynamics,HktiGCd3e-,664,General principles of the CVS Organization Heart as two pumps Series and parallel circuits Chemical composition of the venous and arterial blood Blood flow direction Various pressures in the CVS,[  ],57c6515c1a4f528e46bc4708,,
Blood Flow Autoregulation,blood-flow-autoregulation,H19iMRuhg-,2414,This video presents: Regulation of the Blood Flow. Long Term Flow is not covered in this chapter. Acute blood flow types i.e. Extrinsic and Intrinsic. Metabolic and myogenic theory of the intrinsic blood flow. Role of the blood vessels in the blood flow including ERDF and Endothelin.,[  ],57c6515c1a4f528e46bc4708,,
Nitric Oxide,nitric-oxide,S1jjMRdngZ,432,This video presents the mechanism of action of the NO and the factors that trigger its release.,[  ],57c6515c1a4f528e46bc4708,,
Muscle Blood Flow Regulation,muscle-blood-flow-regulation,Hy3jz0uneZ,574,This video is part of the blood flow regulation series. We present the blood flow in a muscle during the resting and active state. Extrinisc vs. intrisic blood flow and the triggering factors are disucssed.,[  ],57c6515c1a4f528e46bc4708,,
Cutaneous Blood Flow Regulation,cutaneous-blood-flow-regulation,HJasG0d3eW,953,This video is part of the blood flow regulation series. We will discuss the blood flow control for the skin. We will discuss the unique blood flow control of the skin with temperature changes.,[  ],57c6515c1a4f528e46bc4708,,
Cerebral Blood Flow Regulation,cerebral-blood-flow-regulation,SJAjMROheW,849,This video is part of the blood flow regulation series. In this video we will present: Role of the blood brain barrier. Brain's predeominant use of the autoregulation for its control. Role of changing pH for the blood flow. Role of the oxygen vs. carbon dioxide for the brain's blood flow. Various nuclei that take part in controlling the blood flow and pressure in the body to optimize the flow to the brain.,[  ],57c6515c1a4f528e46bc4708,,
Coronary Blood Flow Regulation,coronary-blood-flow-regulation,H1keiMRO2lb,927,This video is part of the blood flow regulation series. In this video we will present one of the most important topic in the CVS physiology i.e. Coronary Blood Flow Regulation. We will present the properties of the coronary circulation. We will discuss the coronary filling during the diastole instead of the systole. We will discuss the impact of the coronary arteries supplying from the surface instead of being embedded in the tissue.,[  ],57c6515c1a4f528e46bc4708,,
Pulmonary Vessels: Metabolic and Reservoir Function,pulmonary-vessels-metabolic-and-reservoir-function,HkglsGRunxW,655,This video will present: Properties of the pulmonary vasculature. Division and the filtration function of the pulmonary vasculature. Metabolic functions of the pulmonary vasculature. Comparison of the pulmonary and systemic vasulatures. Change in the pressures with breathing and valsalva's manuver. Clinical points of the pulmonary vasculature.,[  ],57c6515c1a4f528e46bc4708,,
Factors affecting Passive Pulmonary Circuit,factors-affecting-passive-pulmonary-circuit,SkWxsMAu2xW,618,This video will present: Properties of the pulmonary vasculature. Division and the filtration function of the pulmonary vasculature. Metabolic functions of the pulmonary vasculature. Comparison of the pulmonary and systemic vasulatures. Change in the pressures with breathing and valsalva's manuver. Clinical points of the pulmonary vasculature.,[  ],57c6515c1a4f528e46bc4708,,
Baroreceptors: A Primer on Blood Pressure Regulation,baroreceptors-a-primer-on-blood-pressure-regulation,SJzeoMA_2gb,2061,This video is part of the blood pressure regulation series. We discuss the baroreceptors and their contribution for maintaining the blood pressure. We will discuss the various type of mechanisms that help control the blood pressure.\r\n{article:https://articles.drbeen.com/2016/10/19/blood-pressure-control-by-baroreceptors/},[  ],57c6515c1a4f528e46bc4708,,
An Overview on Electrophysiology,an-overview-on-electrophysiology,rkQejGAdhlZ,2333,This video presents the conduction system of the heart Time intervals for the impulse to travel the conduction system Travel direction speed and durations Cardiac action potential and electrical activity.,[  ],57c6515c1a4f528e46bc4708,,
Nodal Action Potentials,nodal-action-potentials,rJVlsG0O3e-,1774,This video presents nodal action potentials. These action potentials occur in the cardiac tissues that exhibit automaticity. A comparison of the myocardial action potential with the nodal action potential is also made to make sure that you are not confused during the Steps.,[  ],57c6515c1a4f528e46bc4708,,
Autonomic Control of the Nodal Action Potentials,autonomic-control-of-the-nodal-action-potentials,HyHxszROhlZ,892,This video presents the effect of sympathetic and parasympathetic systems on the nodal action potentials.,[  ],57c6515c1a4f528e46bc4708,,
Ventricular Action Potentials,ventricular-action-potentials,S1IxsMAdhxZ,880,This video presents the conduction system of the heart Time intervals for the impulse to travel the conduction system Travel direction speed and durations Cardiac action potential and electrical activity.,[  ],57c6515c1a4f528e46bc4708,,
Excitation Contraction Coupling,excitation-contraction-coupling,r1PlozRO2x-,1989,This video presents: Excitation contraction coupling in the heart tissue. Properties of the cardiac muscle compared to smooth and skeletal muscles Role of the extra cellular fluid calcium Beta agonists Action of actylcholine Cardiac glycocides (digitalis),[  ],57c6515c1a4f528e46bc4708,,
