App_#,Session_#,Activity_Title,title,
85515,1141,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Cardiac Axis Determination and its Clinical Significance,
85515,2071,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Dyslipidemia  (Part 2),
85515,1192,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Dyslipidemia Management-ACC/AHA guideline Overview,
85515,1409,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Dyslipidemias (Part 1),
85515,670,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Dyslipidemias (Part 3),
85515,1191,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Dyslipidemias (Part 4),
85515,2072,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Dyslipidemias (Part 4),
85515,1494,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) EKG Fundamentals,
85515,1362,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) EKG Leads and Normal Waveform,
85515,1239,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Hypertension Management (Part 1),
85515,562,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Hypertension Management (Part 2),
85515,966,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Hypertension Management (Part 3),
85515,564,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Hypertension Management (part 4),
85515,1605,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Managing Type II Diabetes Mellitus (Part 1),
85515,1810,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Managing Type II Diabetes Mellitus (Part 10),
85515,1606,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Managing Type II Diabetes Mellitus (Part 2),
85515,2070,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Managing Type II Diabetes Mellitus (Part 3),
85515,172,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Managing Type II Diabetes Mellitus (Part 4),
85515,1108,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Managing Type II Diabetes Mellitus (Part 5),
85515,174,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Managing Type II Diabetes Mellitus (Part 6),
85515,1183,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Managing Type II Diabetes Mellitus (Part 7),
85515,2069,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Managing Type II Diabetes Mellitus (Part 8),
85515,1406,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Managing Type II Diabetes Mellitus (Part 9),
85515,1427,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Peptic Ulcer Disease and the Role of PPIs,
85515,831,DrBeen's Clinical Practice Readiness Program (2019/2020),(Webinar) Wound Care and Management,
85515,1587,DrBeen's Clinical Practice Readiness Program (2019/2020),:Asthma,
85515,76,DrBeen's Clinical Practice Readiness Program (2019/2020),10 most important disorders of the Small Intestine: An Overview,
85515,1687,DrBeen's Clinical Practice Readiness Program (2019/2020),A Clinical Approach to Asthma,
85515,302,DrBeen's Clinical Practice Readiness Program (2019/2020),A Clinical Approach to Hypoxemia,
85515,675,DrBeen's Clinical Practice Readiness Program (2019/2020),A clinical overview of Clinical Hepatic Diseases: Utilization of Liver Function Tests (LFT),
85515,945,DrBeen's Clinical Practice Readiness Program (2019/2020),A Differential Diagnosis of Acute Chest Pain,
85515,471,DrBeen's Clinical Practice Readiness Program (2019/2020),A Preview of Sepsis and Septic Shock: Diagnosis and Management,
85515,1868,DrBeen's Clinical Practice Readiness Program (2019/2020),A.N.S ( Epinephrine and Norepinephrine) Part-1,
85515,1869,DrBeen's Clinical Practice Readiness Program (2019/2020),A.N.S (Epinephrine and Norepinephrine) Part 2,
85515,1872,DrBeen's Clinical Practice Readiness Program (2019/2020),A.N.S (Epinephrine and Norepinephrine) Part 5,
85515,1870,DrBeen's Clinical Practice Readiness Program (2019/2020),A.N.S (Epinephrine and Norepinephrine) Part-3,
85515,1871,DrBeen's Clinical Practice Readiness Program (2019/2020),A.N.S (Epinephrine and Norepinephrine) Part-4,
85515,1873,DrBeen's Clinical Practice Readiness Program (2019/2020),A.N.S (Epinephrine and Norepinephrine) Part-6,
85515,1874,DrBeen's Clinical Practice Readiness Program (2019/2020),A.N.S (Epinephrine and Norepinephrine) Part-7,
85515,297,DrBeen's Clinical Practice Readiness Program (2019/2020),Abdominal Compartment Syndrome,
85515,257,DrBeen's Clinical Practice Readiness Program (2019/2020),Abnormal Breathing Patterns,
85515,47,DrBeen's Clinical Practice Readiness Program (2019/2020),Abnormal Uterine Bleeding,
85515,1992,DrBeen's Clinical Practice Readiness Program (2019/2020),Acid Base Disorders,
85515,2074,DrBeen's Clinical Practice Readiness Program (2019/2020),Acne,
85515,1901,DrBeen's Clinical Practice Readiness Program (2019/2020),Action Potential (Part-1),
85515,1902,DrBeen's Clinical Practice Readiness Program (2019/2020),Action potential (Part-2),
85515,1903,DrBeen's Clinical Practice Readiness Program (2019/2020),Action potential (Part-3),
85515,207,DrBeen's Clinical Practice Readiness Program (2019/2020),Acute Abdomen Series: Acute Diverticulitis,
85515,1197,DrBeen's Clinical Practice Readiness Program (2019/2020),Acute Abdomen Series: Acute Pancreatitis,
85515,1201,DrBeen's Clinical Practice Readiness Program (2019/2020),Acute Abdomen Series: Appendicitis,
