title,URL Link,Description,Objectives,Lecture Duration (hh:mm:ss),CME Credits,Teacher Name
CVS Pysiology General Principles (Part 1),https://members.drbeen.com/view/cvs-pysiology-general-principles-part-1/HJeszROhgW,Heart as two pumps Series and parallel circuits Chemical composition of the venous and arterial blood Blood flow direction Various pressures in the CVS,Heart as two pumps Series and parallel circuits Chemical composition of the venous and arterial blood Blood flow direction Various pressures in the CVS,00:10:00,0.5,"Mobeen Syed, MD"
Factors affecting Passive Pulmonary Circuit,https://members.drbeen.com/view/factors-affecting-passive-pulmonary-circuit/SkWxsMAu2xW,"This video will present: Properties of the pulmonary vasculature. Division and the filtration function of the pulmonary vasculature. Metabolic functions of the pulmonary vasculature. Comparison of the pulmonary and systemic vasulatures. Change in the pressures with breathing and valsalva's manuver. Clinical points of the pulmonary vasculature.","This video will present: Properties of the pulmonary vasculature. Division and the filtration function of the pulmonary vasculature. Metabolic functions of the pulmonary vasculature. Comparison of the pulmonary and systemic vasulatures. Change in the pressures with breathing and valsalva's manuver. Clinical points of the pulmonary vasculature.",00:10:18,0.5,"Mobeen Syed, MD"
An Overview on Electrophysiology,https://members.drbeen.com/view/an-overview-on-electrophysiology/rkQejGAdhlZ,This video presents the conduction system of the heart Time intervals for the impulse to travel the conduction system Travel direction speed and durations Cardiac action potential and electrical activity.,This video presents the conduction system of the heart Time intervals for the impulse to travel the conduction system Travel direction speed and durations Cardiac action potential and electrical activity.,00:38:53,1,"Mobeen Syed, MD"
Preload and Afterload,https://members.drbeen.com/view/preload-and-afterload/ByYgiM0u3eb,This video presents the concepts of preload and afterload. Both of these concepts are important to understand to assess the performance of the heart. Sarcomere structure function and its relationship to preload and afterload is also discussed. We will also discuss the difference between the passive tension and active tension. Notice that cardiac performance is assessed by: Heart rate Conduction velocity Preload Afterload Contractility,This video presents the concepts of preload and afterload. Both of these concepts are important to understand to assess the performance of the heart. Sarcomere structure function and its relationship to preload and afterload is also discussed. We will also discuss the difference between the passive tension and active tension. Notice that cardiac performance is assessed by: Heart rate Conduction velocity Preload Afterload Contractility,00:15:38,0.75,"Mobeen Syed, MD"
Cardiac Cycle,https://members.drbeen.com/view/cardiac-cycle/HkclsG0O3gb,This video presents the physiology of the cardiac cycle. \r\nWe will discuss: \r\nDefinition \r\nDuration \r\nElectrical activity of the heart during a cardiac cycle \r\nMechanical changes \r\nPressure changes in the atria ventricles and aorta \r\nVolume changes in heart chambers \r\nHeart sounds \r\nVenous pulse graph,This video presents the physiology of the cardiac cycle. \r\nWe will discuss: \r\nDefinition \r\nDuration \r\nElectrical activity of the heart during a cardiac cycle \r\nMechanical changes \r\nPressure changes in the atria ventricles and aorta \r\nVolume changes in heart chambers \r\nHeart sounds \r\nVenous pulse graph,00:47:30,1.25,"Mobeen Syed, MD"
Pressure-Volume Loops,https://members.drbeen.com/view/pressure-volume-loops/r1oloGAungb,This video presents the cardiac pressure volume graph and how to approach it when you see it in the Steps. There are high chances that you will get this loop in your steps exams.,This video presents the cardiac pressure volume graph and how to approach it when you see it in the Steps. There are high chances that you will get this loop in your steps exams.,00:07:41,0.5,"Mobeen Syed, MD"
Ejection Fraction and Cardiac Output,https://members.drbeen.com/view/ejection-fraction-and-cardiac-output/By3gjGA_2lb,This video presents the cardiac volumes ejection fraction and cardiac output Volumes dicussed are: End diastolic volume End systolic volume Stroke volume,This video presents the cardiac volumes ejection fraction and cardiac output Volumes dicussed are: End diastolic volume End systolic volume Stroke volume,00:25:42,0.75,"Mobeen Syed, MD"
Clinical Application of Pressure-Volume Loops,https://members.drbeen.com/view/clinical-application-of-pressure-volume-loops/ry6gjz0OngZ,This video presents the cardiac pressure volume graph and how to approach it when you see it in the Steps. There are high chances that you will get this loop in your steps exams.,This video presents the cardiac pressure volume graph and how to approach it when you see it in the Steps. There are high chances that you will get this loop in your steps exams.,00:29:46,0.75,"Mobeen Syed, MD"
Measuring Cardiac Output,https://members.drbeen.com/view/measuring-cardiac-output/BJRxof0_2g-,"This video presents the measurement of the cardiac output using Fick's method. We will also touch upon the doppler and thermodilution.","This video presents the measurement of the cardiac output using Fick's method. We will also touch upon the doppler and thermodilution.",00:20:47,0.75,"Mobeen Syed, MD"
Cardiac and Venous Curves,https://members.drbeen.com/view/cardiac-and-venous-curves/SkJbizCdneW,This video presents: Vascular function curve/graph Cardiac function curve/graph We will combine the two graphs and understand how to approach it in the exams. We will also see the effects of: Inotropy changes Venous return changes Total peripheral resistance changes We will also explain the difference between: Mean systemic pressure Mean circulatory pressure,This video presents: Vascular function curve/graph Cardiac function curve/graph We will combine the two graphs and understand how to approach it in the exams. We will also see the effects of: Inotropy changes Venous return changes Total peripheral resistance changes We will also explain the difference between: Mean systemic pressure Mean circulatory pressure,00:35:56,1,"Mobeen Syed, MD"
Cardiac and Venous Curves - Review,https://members.drbeen.com/view/cardiac-and-venous-curves-review/rkxZjMCOnx-,Review\r\nThis video presents: Vascular function curve/graph Cardiac function curve/graph We will combine the two graphs and understand how to approach it in the exams. We will also see the effects of: Inotropy changes Venous return changes Total peripheral resistance changes We will also explain the difference between: Mean systemic pressure Mean circulatory pressure,Review\r\nThis video presents: Vascular function curve/graph Cardiac function curve/graph We will combine the two graphs and understand how to approach it in the exams. We will also see the effects of: Inotropy changes Venous return changes Total peripheral resistance changes We will also explain the difference between: Mean systemic pressure Mean circulatory pressure,00:23:17,0.75,"Mobeen Syed, MD"
(Webinar) EKG Leads and Normal Waveform (Repeat),https://members.drbeen.com/view/webinar-ekg-leads-and-normal-waveform-repeat/rJdWsMCu2eb,,,01:36:57,2,"Mobeen Syed, MD"
History of Presenting Illness,https://members.drbeen.com/view/history-of-presenting-illness/BkhWiz0d3xb,Dr. Ahmed Zaafran presents a talk on the history of presenting illness.\r\n\r\nType: Webinar Recording,Dr. Ahmed Zaafran presents a talk on the history of presenting illness.\r\n\r\nType: Webinar Recording,01:39:00,2,"Ahmed Zaafran, MD"
Antibiotics Overview ,https://members.drbeen.com/view/antibiotics-overview/H1TWsGROhg-,"Dr. Syed starts the series about the antibiotics' usage. The first lecture in the series presents the following topics about penicillins:\r\n\r\n1. Discovery.\r\n\r\n2. Types.\r\n\r\n3. Mechanism of action.\r\n\r\n4. Coverage of gram positive and negative pathogens by various types.\r\n\r\n5. Pathogen resistance to penicillins.\r\n\r\n6. Penicillin combinations with lavulanic acid etc. to overcome the resistance.\r\n\r\n7. Usage in various infections.","Dr. Syed starts the series about the antibiotics' usage. The first lecture in the series presents the following topics about penicillins:\r\n\r\n1. Discovery.\r\n\r\n2. Types.\r\n\r\n3. Mechanism of action.\r\n\r\n4. Coverage of gram positive and negative pathogens by various types.\r\n\r\n5. Pathogen resistance to penicillins.\r\n\r\n6. Penicillin combinations with lavulanic acid etc. to overcome the resistance.\r\n\r\n7. Usage in various infections.",00:58:29,1.25,"Mobeen Syed, MD"
Drbeen for MSAI students,https://members.drbeen.com/view/drbeen-for-msai-students/r1yfoMAOneZ,This video helps explain how to use drbeen site for MSAI members.,This video helps explain how to use drbeen site for MSAI members.,00:03:59,0.5,"Mobeen Syed, MD"
Vasculature and Perfusion of the Brain ,https://members.drbeen.com/view/vasculature-and-perfusion-of-the-brain/HJxfiMRO3gW,Dr. Syed discusses the following topics:\r\ninternal Carotid and its branches:\r\nOphthalmic\r\nAnterior Choroidal\r\nMiddle Cerebral and Lenticulstriate\r\nAnterior Cerebral and Anterior Communicating\r\nposterior Communicating\r\nVerebrobasilar System\r\nVertebral Arteries\r\nAnterior Spinal\r\nPosterior Inferior Cerebellar\r\nBasilar\r\nAnterior Inferior Cerebellar\r\nPontine\r\nSuperior Cerebellar\r\nPosterior Cerebellar\r\n\r\nHigh yield clinical presentations of the strokes involving these arteries.,Dr. Syed discusses the following topics:\r\ninternal Carotid and its branches:\r\nOphthalmic\r\nAnterior Choroidal\r\nMiddle Cerebral and Lenticulstriate\r\nAnterior Cerebral and Anterior Communicating\r\nposterior Communicating\r\nVerebrobasilar System\r\nVertebral Arteries\r\nAnterior Spinal\r\nPosterior Inferior Cerebellar\r\nBasilar\r\nAnterior Inferior Cerebellar\r\nPontine\r\nSuperior Cerebellar\r\nPosterior Cerebellar\r\n\r\nHigh yield clinical presentations of the strokes involving these arteries.,00:38:55,1,"Mobeen Syed, MD"
Anatomical Review of the Cerebellum,https://members.drbeen.com/view/anatomical-review-of-the-cerebellum/rkWMjzRdnl-,"This video presents the structure, function, and neuronal loops of the Cerebellum.","This video presents the structure, function, and neuronal loops of the Cerebellum.",00:13:15,0.5,"Mobeen Syed, MD"
Utilizing EKG Leads to Represent Cardiac Surfaces,https://members.drbeen.com/view/utilizing-ekg-leads-to-represent-cardiac-surfaces/Bk97jGAunlZ,Session 2 of the EKG interpretation.\r\n\r\nDr. Syed presents:\r\n\r\n1. EKG leads setup.\r\n\r\n2. Surfaces that the EKG leads look at.\r\n\r\n3. Properties of QT interval.\r\n\r\n4. QRS progression.,Session 2 of the EKG interpretation.\r\n\r\nDr. Syed presents:\r\n\r\n1. EKG leads setup.\r\n\r\n2. Surfaces that the EKG leads look at.\r\n\r\n3. Properties of QT interval.\r\n\r\n4. QRS progression.,00:10:16,0.5,"Mobeen Syed, MD"
Hypertrophy and Enlargement of the Heart,https://members.drbeen.com/view/hypertrophy-and-enlargement-of-the-heart/SyiXif0_nlb,"Dr. Syed presents:\r\n\r\nThe terminology used for the cardiac chamber enlargement.\r\n\r\nPrinciples of the EKG changes when chamber enlargement is present.\r\n\r\nRight atrial enlargement, EKG changes, diagnostic criteria, and the pathologies.\r\n\r\nLeft atrial enlargement, EKG changes, diagnostic criteria, and the pathologies.\r\n\r\nRight ventricular enlargement, EKG changes, diagnostic criteria, and the pathologies.\r\n\r\nLeft ventricular enlargement, EKG changes, diagnostic criteria, and the pathologies.\r\n\r\nBoth ventricular enlargement, EKG changes, diagnostic criteria, and the pathologies.","Dr. Syed presents:\r\n\r\nThe terminology used for the cardiac chamber enlargement.\r\n\r\nPrinciples of the EKG changes when chamber enlargement is present.\r\n\r\nRight atrial enlargement, EKG changes, diagnostic criteria, and the pathologies.\r\n\r\nLeft atrial enlargement, EKG changes, diagnostic criteria, and the pathologies.\r\n\r\nRight ventricular enlargement, EKG changes, diagnostic criteria, and the pathologies.\r\n\r\nLeft ventricular enlargement, EKG changes, diagnostic criteria, and the pathologies.\r\n\r\nBoth ventricular enlargement, EKG changes, diagnostic criteria, and the pathologies.",00:34:59,1,"Mobeen Syed, MD"
(Webinar) Managing Type II Diabetes Mellitus (Part 4) - podcast,https://members.drbeen.com/view/webinar-managing-type-ii-diabetes-mellitus-part-4-podcast/By0QofC_3gZ,,,00:42:40,1,"Mobeen Syed, MD"
Managing Type II Diabetes Mellitus part 3 disabled,https://members.drbeen.com/view/managing-type-ii-diabetes-mellitus-part-3-disabled/S11NiGA_ngZ,"Dr. Syed presents:\r\n\r\n*The role of FAT cells in modifying FFA levels, Liponectin levels, and Resistin levels. \r\n*Insulin resistance due to the substances mentioned above.\r\n*Burnout of the beta cells after the consistent elevation of glucose due to insulin resistance.","Dr. Syed presents:\r\n\r\n*The role of FAT cells in modifying FFA levels, Liponectin levels, and Resistin levels. \r\n*Insulin resistance due to the substances mentioned above.\r\n*Burnout of the beta cells after the consistent elevation of glucose due to insulin resistance.",00:39:46,1,"Mobeen Syed, MD"
Managing Diabetes Mellitus Type II (Part 4),https://members.drbeen.com/view/managing-diabetes-mellitus-type-ii-part-4/SJgNozRd3eZ,"Dr. Syed presents the first session on the management of type 2 diabetes mellitus. Following topics are covered:\r\n*Sources of glucose and contribution from carbs, fats, and proteins.\r\n*Is it useful to go to protein high or fat high diets? Or is it useful to cut carbs?\r\n*What is the effect of combining carbs with proteins and carbs with fats to the glucose peak that occurs after a meal? Does it matter from a therapeutic point of view?\r\n*What is the final common pathway of energy production from the three macro classes of the food - namely, proteins, fats, and carbs.","Dr. Syed presents the first session on the management of type 2 diabetes mellitus. Following topics are covered:\r\n*Sources of glucose and contribution from carbs, fats, and proteins.\r\n*Is it useful to go to protein high or fat high diets? Or is it useful to cut carbs?\r\n*What is the effect of combining carbs with proteins and carbs with fats to the glucose peak that occurs after a meal? Does it matter from a therapeutic point of view?\r\n*What is the final common pathway of energy production from the three macro classes of the food - namely, proteins, fats, and carbs.",00:37:49,1,"Mobeen Syed, MD"
Abnormal Pulmonary Breathing Patterns,https://members.drbeen.com/view/abnormal-pulmonary-breathing-patterns/BJN4iGA_heZ,This brief video presents: Apneustic breathing pattern Biot/Ataxic breathing pattern Cheyne Stoke breathing pattern Kussmal breathing pattern,This brief video presents: Apneustic breathing pattern Biot/Ataxic breathing pattern Cheyne Stoke breathing pattern Kussmal breathing pattern,00:07:13,0.5,"Mobeen Syed, MD"
Pulmonary Pressure and Flow Resistance,https://members.drbeen.com/view/pulmonary-pressure-and-flow-resistance/r1nEofC_nlW,"This video presents the relationship of the flow, pressure, and resistance in the lung airways.","This video presents the relationship of the flow, pressure, and resistance in the lung airways.",00:26:32,0.75,"Mobeen Syed, MD"
Ventilation/Perfusion (V/Q) Ratios,https://members.drbeen.com/view/ventilationperfusion-vq-ratios/SkXBofAd3lW,This video discusses: Alveolar ventilation Blood flow through lungs Calculating the ratio Evaluating the V/Q ratio Generalizations,This video discusses: Alveolar ventilation Blood flow through lungs Calculating the ratio Evaluating the V/Q ratio Generalizations,00:29:43,0.75,"Mobeen Syed, MD"
Protective Mechanisms from Pneumonia,https://members.drbeen.com/view/protective-mechanisms-from-pneumonia/BkOSizA_2gW,"This video introduced the normal protective mechanisms of the respiratoty system. Mechanism introduced are: Protections in the nose, mouth, pharynx, and upper airways Mucocilliary elevator Antibodies Macrophages Moisture on the airway surfaces Etc.","This video introduced the normal protective mechanisms of the respiratoty system. Mechanism introduced are: Protections in the nose, mouth, pharynx, and upper airways Mucocilliary elevator Antibodies Macrophages Moisture on the airway surfaces Etc.",00:19:44,0.75,"Mobeen Syed, MD"
Sinoatrial Nodal Block (SA Nodal Block),https://members.drbeen.com/view/sinoatrial-nodal-block-sa-nodal-block/Sy5roGRO3gZ,This video discusses SA nodal block with its pathogenesis ECG changes and clinical importance.,This video discusses SA nodal block with its pathogenesis ECG changes and clinical importance.,00:11:59,0.5,"Mobeen Syed, MD"
Paroxysmal Tachycardia,https://members.drbeen.com/view/paroxysmal-tachycardia/rksHjMRu3x-,This video discusses: Atrial and ventricular proxysmal tachycardia. Atrial fibrillation Ventricular tachycardia and v-fib Pathogenesis of the tachcardia and v-fib Cirsuc movemens Wolff parkinson white syndrome ECG showing these pathologies,This video discusses: Atrial and ventricular proxysmal tachycardia. Atrial fibrillation Ventricular tachycardia and v-fib Pathogenesis of the tachcardia and v-fib Cirsuc movemens Wolff parkinson white syndrome ECG showing these pathologies,00:21:10,0.75,"Mobeen Syed, MD"
Overview (Innate and Acquired Arm - 1),https://members.drbeen.com/view/overview-innate-and-acquired-arm-1/rkhSjfCd2lW,"In this lecture, we will discuss the high-level functions and categories of the immune system. We will look at the innate and acquired arm of the immune defense mechanisms.\r\n\r\n","In this lecture, we will discuss the high-level functions and categories of the immune system. We will look at the innate and acquired arm of the immune defense mechanisms.\r\n\r\n",00:09:59,0.5,"Mobeen Syed, MD"
Overview (Innate and Acquired Arm - 2),https://members.drbeen.com/view/overview-innate-and-acquired-arm-2/r16SizRO3eb,"In this lecture, we will discuss the high-level functions and categories of the immune system. We will look at the innate and acquired arm of the immune defense mechanisms.\r\n\r\n","In this lecture, we will discuss the high-level functions and categories of the immune system. We will look at the innate and acquired arm of the immune defense mechanisms.\r\n\r\n",00:06:44,0.5,"Mobeen Syed, MD"
Overview (Innate and Acquired Arm - 3),https://members.drbeen.com/view/overview-innate-and-acquired-arm-3/SkABjMRO2e-,"In this lecture, we will discuss the high-level functions and categories of the immune system. We will look at the innate and acquired arm of the immune defense mechanisms.\r\n\r\n","In this lecture, we will discuss the high-level functions and categories of the immune system. We will look at the innate and acquired arm of the immune defense mechanisms.\r\n\r\n",00:09:59,0.5,"Mobeen Syed, MD"
Overview (Innate and Acquired Arm - 4),https://members.drbeen.com/view/overview-innate-and-acquired-arm-4/SJ18ozCOhl-,"In this lecture, we will discuss the high-level functions and categories of the immune system. We will look at the innate and acquired arm of the immune defense mechanisms.\r\n\r\n","In this lecture, we will discuss the high-level functions and categories of the immune system. We will look at the innate and acquired arm of the immune defense mechanisms.\r\n\r\n",00:06:31,0.5,"Mobeen Syed, MD"
Overview (Innate and Acquired Arm - 5),https://members.drbeen.com/view/overview-innate-and-acquired-arm-5/HkgUsGCu3eb,"In this lecture, we will discuss the high-level functions and categories of the immune system. We will look at the innate and acquired arm of the immune defense mechanisms.\r\n\r\n","In this lecture, we will discuss the high-level functions and categories of the immune system. We will look at the innate and acquired arm of the immune defense mechanisms.\r\n\r\n",00:11:30,0.5,"Mobeen Syed, MD"
Overview (Innate and Acquired Arm - 6),https://members.drbeen.com/view/overview-innate-and-acquired-arm-6/SkWUoGCO2e-,"In this lecture, we will discuss the high-level functions and categories of the immune system. We will look at the innate and acquired arm of the immune defense mechanisms.\r\n\r\n","In this lecture, we will discuss the high-level functions and categories of the immune system. We will look at the innate and acquired arm of the immune defense mechanisms.\r\n\r\n",00:05:16,0.5,"Mobeen Syed, MD"
Overview (Immune Cells - 1),https://members.drbeen.com/view/overview-immune-cells-1/rkG8sGAO3x-,,,00:09:59,0.5,"Mobeen Syed, MD"
Overview (Immune Cells - 2),https://members.drbeen.com/view/overview-immune-cells-2/ryXIsMRO3lZ,,,00:06:27,0.5,"Mobeen Syed, MD"
Overview (Immune Cells - 3),https://members.drbeen.com/view/overview-immune-cells-3/r1EIiMC_3eZ,,,00:09:59,0.5,"Mobeen Syed, MD"
Overview (Immune Cells - 4),https://members.drbeen.com/view/overview-immune-cells-4/HJSUsz0O3e-,,,00:06:17,0.5,"Mobeen Syed, MD"
Overview (Immune Cells - 5),https://members.drbeen.com/view/overview-immune-cells-5/B18LsMCdnxZ,,,00:09:59,0.5,"Mobeen Syed, MD"
Overview (Immune Cells - 6),https://members.drbeen.com/view/overview-immune-cells-6/S1vLjz0une-,,,00:05:33,0.5,"Mobeen Syed, MD"
Neutrophils (part 1),https://members.drbeen.com/view/neutrophils-part-1/ByOUiMAOnxW,,,00:09:59,0.5,"Mobeen Syed, MD"
Neutrophils (part 2),https://members.drbeen.com/view/neutrophils-part-2/S1tLsf0O2gZ,,,00:06:35,0.5,"Mobeen Syed, MD"
Neutrophils (part 3),https://members.drbeen.com/view/neutrophils-part-3/SJ9LsfAunlZ,,,00:09:59,0.5,"Mobeen Syed, MD"
Neutrophils (part 4),https://members.drbeen.com/view/neutrophils-part-4/rkiIiz0dngZ,,,00:06:24,0.5,"Mobeen Syed, MD"
